id,source_path,title,date_published,canonical,article_characters,image_count,video_count,images_missing_alt,article_text_sha256,html_sha256,migration_status
5418,web/news/5418.html,七年·千店·万人就业：熊大爷，包饺子也包梦想,2026-05-29,https://xdy.secondlife.today/web/news/5418.html,2430,14,0,0,b0787796f76af46bc8b6f07060d733c1bc46b6de1ca892043b698c765e301d5d,0c592ae6c9f211fd1f51fc35a5e8d4ea8f030ec650abbb201c6539e999456cff,baseline_inventory_complete
5419,web/news/5419.html,8848米之上：一只饺子的志向与征途,2026-05-29,https://xdy.secondlife.today/web/news/5419.html,2521,11,0,0,8cf7c2d4e87e5bc63c96e17ce284c459bbde480d73e1882354fd0b73a8ed4830,408efff8f7589746a98eed9659a92e74828bd59d580f5aa901fd8d9829f65599,baseline_inventory_complete
5420,web/news/5420.html,她们不过母亲节，但每天都在当妈妈,2026-06-01,https://xdy.secondlife.today/web/news/5420.html,1329,4,0,0,aa6c8b7804ad2015848d16382f943a0166d6442ee79fc149dac68bf2c3745f95,073ce4e0ded103b3df363afb96d0be5eaba7efedac907b2265a3a951fd3c7f24,baseline_inventory_complete
5421,web/news/5421.html,7周年，疯了！一毛钱吃饺子？！,2026-06-16,https://xdy.secondlife.today/web/news/5421.html,112,4,0,0,a47bda5f420a0d7c9b465227aa521554fe20ad482abfd8890421bd92cc2b1e81,c07c35a2c7d8bb19cecaa8fa8377a6878247a9832fe3485d637445f01f5417a4,baseline_inventory_complete
5422,web/news/5422.html,7周年宠粉 | 50份周边礼随机掉落中,2026-06-16,https://xdy.secondlife.today/web/news/5422.html,122,4,0,0,cbd5d8016137d97f6fe0ee29db171e387a9db051cef687776097288fc0d75927,184876e834e00c1067b4faa7091dc03c46e43422b003cdc10e58c1c2aa2d6f93,baseline_inventory_complete
5425,web/news/5425.html,超值亲邻卡，快来薅羊毛,2026-06-15,https://xdy.secondlife.today/web/news/5425.html,28,1,1,0,565f446743bf1f9a480b3433aa777e47c33851ae2f0d2b56e518999bea09b50a,1028697fa022c7982746232da7d72f549b15edf9ab206bbcffa257516099fa8d,baseline_inventory_complete
5428,web/news/5428.html,哥哥说的，都是我的词,2026-06-19,https://xdy.secondlife.today/web/news/5428.html,8,1,1,0,e31d9f2ec77644aed6a28d2e523babef27ffabc31b77453e44e3050671ab98c5,d185ecd048ebc7419328638ba97df88246c1777b53c237f827c9112950b7898f,baseline_inventory_complete
5429,web/news/5429.html,吃货的王道在哪里,2026-06-20,https://xdy.secondlife.today/web/news/5429.html,8,1,1,0,e31d9f2ec77644aed6a28d2e523babef27ffabc31b77453e44e3050671ab98c5,2c4d7cd24a2ff4dc9b2af52b49ef21406b000dae031e76769d374366ab5a771a,baseline_inventory_complete
5430,web/news/5430.html,就这波了，上啊！,2026-06-21,https://xdy.secondlife.today/web/news/5430.html,8,1,1,0,e31d9f2ec77644aed6a28d2e523babef27ffabc31b77453e44e3050671ab98c5,686a83225f611e5a796903959aeeaa24327cf0a61e5750d40a192c87da270b46,baseline_inventory_complete
5431,web/news/5431.html,美食召唤术,2026-06-25,https://xdy.secondlife.today/web/news/5431.html,44,1,1,0,726e39f6e137410bcd4a590235b9eb2479d1b1363a95222146decfb9bd297859,b5ab9b9b747149f479b530ec5f840e95d06a54f63e1efa690f3380a05aa9f1e1,baseline_inventory_complete
